id,slug,url,name,description,category,platform,platform_role,tags,authors,repository,repository_host,registry,registry_name,doi,publication,website,blogpost,youtube,twitter,internetarchive,notes
c5ce19,14c-power-sensitivity,https://open-archaeo.info/post/14c-power-sensitivity/,14C-power-sensitivity,How wrong is wrong and how good can it get? 14C chronological model power and sensitivity analyses with OxCal and R.,Packages and libraries,R,language,"Radiocarbon dating, calibration and sequencing",pete-jacobsson,https://github.com/pete-jacobsson/14C-power-sensitivity,GitHub,,,,,,,,,,
44d440,3d-organ,https://open-archaeo.info/post/3d-organ/,3D-ORGAN,3D reconstruction of incomplete archaeological objects using a generative adversarial network (GAN).,Scripts,Python,language,3D modelling,Renato Hermoza|Ivan Sipiran,https://github.com/renato145/3D-ORGAN,GitHub,,,10.1145/3208159.3208173,https://doi.org/10.1145/3208159.3208173,,,,,https://archive.org/details/github.com-renato145-3D-ORGAN_-_2020-02-20_02-43-58,
251be2,abma-tutorials,https://open-archaeo.info/post/abma-tutorials/,ABMA_tutorials,A set of interactive tutorials to build agent-based models and how to use them in your work as archaeologist. These tutorials are both suitable for beginners and people who want to brush up their modelling skills.,Standalone software,NetLogo,language,Educational resources and practical guides|Simulation,ABMArchaeologists|RonaldVisser|drocks13,https://github.com/ABMArchaeologists/ABMA_tutorials,GitHub,,,,,https://abmarchaeologists.github.io/ABMA_website/,,,,,"Need to add more author columns and revise the way these columns are parsed. Additional authors not currently represented include: Doug Rocks-Macqueen, Laura van der Knaap, Annemarie Jutte, , Ronald Visser, Jeroen Linssen, Tom Brughmans, Iza Romanowska, Kenneth Aitchison, Karsten Lambers."
b288d5,admur,https://open-archaeo.info/post/admur/,ADMUR,"Tools to directly model underlying population dynamics using chronological datasets (radiocarbon and other) with a variety of models, including Continuous Piecewise Linear (CPL) model framework, and model comparison framework using BIC. Package also calibrates 14C samples, and generates Summed Probability Distributions (SPD). CPL modelling directly estimates the most likely population trajectory given a dataset, using SPD simulation analysis to generate a Goodness-of-fit test for the best selected model.",Packages and libraries,R,language,Chronological modelling,Adrian Timpson|Ramiro Barberena|Mark G. Thomas|César Méndez|Katie Manning,https://github.com/UCL/ADMUR,GitHub,,,10.1098/rstb.2019.0723,https://doi.org/10.1098/rstb.2019.0723,,,,,https://archive.org/details/github.com-UCL-ADMUR_-_2021-01-27_11-48-18,
5f424c,aion,https://open-archaeo.info/post/aion/,aion,Provides a system of classes and methods to represent and work with archaeological time-series (and time intervals).,Packages and libraries,R,language,Chronological modelling,nfrerebeau,https://codeberg.org/tesselle/aion,Codeberg,https://CRAN.R-project.org/package=aion,CRAN,10.5281/zenodo.8032278,https://doi.org/10.21105/joss.06210,https://packages.tesselle.org/aion/,,,,,
51aa23,allen-archaeology,https://open-archaeo.info/post/allen-archaeology/,allen.archaeology,Allen's interval algebra for archaeologists.,Packages and libraries,R,language,Statistical analysis,tsdye,https://github.com/tsdye/allen.archaeology,GitHub,,,,,,,,,https://archive.org/details/github.com-tsdye-allen.archaeology_-_2021-01-08_18-37-11,
2f00c7,alligator,https://open-archaeo.info/post/alligator/,Alligator,A Web tool for converting CAs with dating information to relative time intervals as RDF.,Standalone software,,,Statistical analysis|Schemas and ontologies,florianthiery|Allard Mees,https://github.com/leiza-rse/alligator,GitHub,,,,,https://tools.leiza.de/alligator/,,,,https://archive.org/details/github.com-RGZM-alligator_-_2021-06-04_01-29-28,
dcd82c,aoristic-analysis,https://open-archaeo.info/post/aoristic-analysis/,aoristic-analysis,Estimate probabilities of find numbers per period.,Packages and libraries,Python,language,Statistical analysis,LimesLimits,https://github.com/LimesLimits/aoristic-analysis,GitHub,,,10.1016/j.jasrep.2016.10.006,,,,,,,
3bea01,archaeo-crf,https://open-archaeo.info/post/archaeo-crf/,archaeo-CRF,Conditional Random Fields model for NER in Dutch Archaeology.,Packages and libraries,Python,language,Machine learning|Schemas and ontologies,alexbrandsen,https://github.com/alexbrandsen/archaeo-CRF,GitHub,,,,,,,,,,
21eb18,archaeoastroinsight,https://open-archaeo.info/post/archaeoastroinsight/,ArchaeoAstroInsight,"QGIS Python script/plugin for computing azimuth, horizon altitude, and celestial declination of a specific bearing indicated by a line segment selected by a user.",Packages and libraries,QGIS,host application,Spatial analysis|Archaeoastronomy,marcfrincu,https://github.com/marcfrincu/ArchaeoAstroInsight,GitHub,,,,,,,,,,
