id,slug,url,name,description,category,platform,platform_role,tags,authors,repository,repository_host,registry,registry_name,doi,publication,website,blogpost,youtube,twitter,internetarchive,notes
cf37ff,3d-survey-collection,https://open-archaeo.info/post/3d-survey-collection/,3D-survey-collection,Blender addon that simplifies the tasks involved in the management and optimization of the archaeological and architectonic 3D record.,Packages and libraries,Blender,host application,3D modelling,zalmoxes-laran,https://github.com/zalmoxes-laran/3D-survey-collection,GitHub,,,,,,,,,,
7436b4,3d-edgeangle,https://open-archaeo.info/post/3d-edgeangle/,3D_EdgeAngle,Semi-automated 3D digital method to systematically quantify stone tool edge angle and design.,Packages and libraries,Python,language,Artefact morphology|3D modelling,lschunk|Ivan Calandra|Konstantin Bob,https://github.com/lschunk/3D_EdgeAngle,GitHub,,,10.5281/zenodo.7956767,,,,,,,
2415f1,3d-spatial-ripley-analyses,https://open-archaeo.info/post/3d-spatial-ripley-analyses/,3d_spatial_ripley_analyses,Test spatial associations of objects in three dimensions by using the Ripley's K function.,Scripts,R,language,Site mapping|Spatial analysis,marchaeologist,https://github.com/marchaeologist/3d_spatial_ripley_analyses,GitHub,,,10.5281/zenodo.15236694,,,,,,,
082396,ais,https://open-archaeo.info/post/ais/,AIS,Archaeological information system,Standalone software,,,Data management,andredebuisne,https://github.com/andredebuisne/AIS,GitHub,,,,,,,,,https://archive.org/details/github.com-andredebuisne-AIS_-_2017-12-24_11-44-22,
d8d5f8,akkademia,https://open-archaeo.info/post/akkademia/,Akkademia,"Translating Akkadian signs to transcriptions using NLP techniques such as HMM, MEMM and BiLSTM neural networks.",Packages and libraries,Python,language,Machine learning|Literary analysis and epigraphy,gaigutherz|arielazary|ARomach|ireman,https://github.com/gaigutherz/Akkademia,GitHub,,,,,,,,,,
7ba458,al2o3-analysisapp,https://open-archaeo.info/post/al2o3-analysisapp/,Al2O3_AnalysisApp,Shiny app to analyse al2o3:c measurements,Scripts,R,language,Luminescence dating,RLumSK,https://github.com/crp2a/Al2O3_AnalysisApp,GitHub,,,,,,,,,https://archive.org/details/github.com-crp2a-Al2O3_AnalysisApp_-_2019-08-16_14-29-35,
1a76ef,alkahest,https://open-archaeo.info/post/alkahest/,alkahest,Pre-processing XY data from experimental methods.,Packages and libraries,R,language,Statistical analysis,nfrerebeau,https://codeberg.org/tesselle/alkahest,Codeberg,https://CRAN.R-project.org/package=alkahest,CRAN,10.5281/zenodo.7081524,,https://packages.tesselle.org/alkahest/,,,,,
4d450f,allen-relations,https://open-archaeo.info/post/allen-relations/,allen-relations,Allen relations from Bayesian calibration: R function to compare two indefinite intervals produced by a Bayesian calibration using the Allen algebra.,Packages and libraries,R,language,Chronological modelling,tsdye,https://github.com/tsdye/allen-relations,GitHub,,,,,,http://tsdye.online/tsdye/posts/allen-relations/,,,https://archive.org/details/github.com-tsdye-allen-relations_-_2019-07-07_02-55-15,
9f3483,anatolia-bibliography-map,https://open-archaeo.info/post/anatolia-bibliography-map/,anatolia-bibliography-map,"The goal of this project is to spatially locate bibliographic resources regarding the archaeology of anatolia (modern turkey). This takes the bibliography of archaeology to the next level by showing not only the topics and authors, but where the archaeological research is being done.",Standalone software,,,Writing,anatolian,https://github.com/anatolian/anatolia-bibliography-map,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-anatolia-bibliography-map_-_2017-01-11_17-57-08,
34aa15,ancient-artifacts,https://open-archaeo.info/post/ancient-artifacts/,ancient-artifacts,Dynamic image analysis to identify ancient artifacts in soil samples.,Packages and libraries,R,language,Shape recognition|Spatial analysis,vanderbilt-data-science,https://github.com/vanderbilt-data-science/ancient-artifacts,GitHub,,,,,,,,,,
73dc55,anthrofun,https://open-archaeo.info/post/anthrofun/,anthroFun,Functions to help with the preprocessing steps in anthropological research.,Scripts,R,language,Bits and bobs,ElaineYChu,https://github.com/ElaineYChu/anthroFun,GitHub,,,,,,,,,,
927552,anthropmmd,https://open-archaeo.info/post/anthropmmd/,anthropmmd,"An R package for Smith's Mean Measure of Divergence (MMD), with a graphical user interface, facilities for trait selection and graphical representations.",Packages and libraries,R,language,Cultural evolution|Statistical analysis,frederic-santos,https://github.com/frederic-santos/anthropmmd,GitHub,,,10.1002/ajpa.23336,,,,,,https://archive.org/details/github.com-frederic-santos-anthropmmd_-_2020-09-22_11-43-32,
