id,slug,url,name,description,category,platform,platform_role,tags,authors,repository,repository_host,registry,registry_name,doi,publication,website,blogpost,youtube,twitter,internetarchive,notes
5700bb,quantaar,https://open-archaeo.info/post/quantaar/,quantAAR,R Library for Quantitative Analysis in Archaeology.,Packages and libraries,R,language,Statistical analysis,ISAAKiel,https://github.com/ISAAKiel/quantAAR,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-quantAAR_-_2020-07-09_13-14-14,
7c02a1,tabula,https://open-archaeo.info/post/tabula/,tabula,Analysis and visualization of archaeological count data.,Packages and libraries,R,language,Statistical analysis|Seriation,nfrerebeau,https://codeberg.org/tesselle/tabula,Codeberg,https://CRAN.R-project.org/package=tabula,CRAN,10.5281/zenodo.1489944,https://doi.org/10.21105/joss.01821,https://packages.tesselle.org/tabula/,,,,https://archive.org/details/github.com-tesselle-tabula_-_2021-01-26_20-01-25,
57d10d,tosca,https://open-archaeo.info/post/tosca/,tosca,Tool for online seriation and correspondence analysis.,Scripts,R,language,Statistical analysis,ISAAKiel,https://github.com/ISAAKiel/tosca,GitHub,,,,,,,,,,
bf29c1,cainterprtools,https://open-archaeo.info/post/cainterprtools/,CAinterprTools,R package to help interpreting correspondence analysis' results.,Packages and libraries,R,language,Statistical analysis,gianmarcoalberti,https://github.com/gianmarcoalberti/CAinterprTools,GitHub,,,,,,,,,https://archive.org/details/github.com-gianmarcoalberti-CAinterprTools_-_2018-05-30_15-29-32,
584689,caseriation,https://open-archaeo.info/post/caseriation/,CAseriation,R package for contingency tables seriation via correspondence analysis.,Packages and libraries,R,language,Statistical analysis|Seriation,gianmarcoalberti,https://github.com/gianmarcoalberti/CAseriation,GitHub,,,,,,,,,https://archive.org/details/github.com-gianmarcoalberti-CAseriation_-_2018-06-10_15-14-41,
c24b6c,binomial-co-occurrence-assessment,https://open-archaeo.info/post/binomial-co-occurrence-assessment/,Binomial-Co-occurrence-Assessment,R script that implements a means for statistically assessing the degree of co-occurrence between classes within a dataset.,Scripts,R,language,Statistical analysis,mpeeples2008,https://github.com/mpeeples2008/Binomial-Co-occurrence-Assessment,GitHub,,,,,,,,,https://archive.org/details/github.com-mpeeples2008-Binomial-Co-occurrence-Assessment_-_2018-05-11_03-58-41,
272bf9,kmeans,https://open-archaeo.info/post/kmeans/,Kmeans,Script for conducting k-means cluster analysis using r. This script provides output designed to help the user select an appropriate cluster solution.,Scripts,R,language,Statistical analysis,mpeeples2008,https://github.com/mpeeples2008/Kmeans,GitHub,,,,,http://www.mattpeeples.net/kmeans.html,,,,https://archive.org/details/github.com-mpeeples2008-Kmeans_-_2018-05-10_22-06-21,
1b8a46,brainerd-robinson-similarity-coefficient-and-sampling-error-assessment,https://open-archaeo.info/post/brainerd-robinson-similarity-coefficient-and-sampling-error-assessment/,Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,Script for calculating brainerd-robinson coefficients based on tabular count or percent data. This script also estimates the probability that a given difference between two samples is the product of sampling error.,Scripts,R,language,Statistical analysis,mpeeples2008,https://github.com/mpeeples2008/Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,GitHub,,,,,http://www.mattpeeples.net/BR.html,,,,https://archive.org/details/github.com-mpeeples2008-brainerd-robinson-similarity-coefficient-and-sampling-er,
869033,mean-ceramic-date-and-error-estimation,https://open-archaeo.info/post/mean-ceramic-date-and-error-estimation/,Mean-Ceramic-Date-and-Error-Estimation,Script for calculating mean ceramic dates based on tabular data. This script also estimates sampling error using a bootstrapping procedure.,Scripts,R,language,Statistical analysis|Ceramic analysis,mpeeples2008,https://github.com/mpeeples2008/Mean-Ceramic-Date-and-Error-Estimation,GitHub,,,,,http://www.mattpeeples.net/mcd.html,,,,https://archive.org/details/github.com-mpeeples2008-Mean-Ceramic-Date-and-Error-Estimation_-_2018-05-10_22-18-24,
7ea44d,bootstrap-correspondence-analysis,https://open-archaeo.info/post/bootstrap-correspondence-analysis/,Bootstrap-Correspondence-Analysis,R-script for conducting and evaluating bootstrapped correspondence analyses.,Scripts,R,language,Statistical analysis,mpeeples2008,https://github.com/mpeeples2008/Bootstrap-Correspondence-Analysis,GitHub,,,,,http://www.mattpeeples.net/caboot.html,,,,https://archive.org/details/github.com-mpeeples2008-Bootstrap-Correspondence-Analysis_-_2018-05-10_21-36-03,
695909,ca,https://open-archaeo.info/post/ca/,ca,R script for seriation using correspondence analysis.,Scripts,R,language,Statistical analysis|Seriation,mpeeples2008,,,,,,,http://www.mattpeeples.net/ca.html,,,,,
d84fe7,lisa,https://open-archaeo.info/post/lisa/,LISA,Moran's i and getis-ord g* analysis.,Scripts,R,language,Statistical analysis,mpeeples2008,,,,,,,http://www.mattpeeples.net/modules/LISA.html,,,,,
eec153,plc,https://open-archaeo.info/post/plc/,PLC,Pure locational clustering.,Scripts,R,language,Statistical analysis,mpeeples2008,,,,,,,http://www.mattpeeples.net/modules/PLC.html,,,,,
ac73d9,unconstrainedclustering,https://open-archaeo.info/post/unconstrainedclustering/,UnconstrainedClustering,Unconstrained clustering.,Scripts,R,language,Statistical analysis,mpeeples2008,,,,,,,http://www.mattpeeples.net/modules/UnconstrainedClustering.html,,,,,
34b392,basicmapping,https://open-archaeo.info/post/basicmapping/,BasicMapping,Working with map data in r.,Scripts,R,language,Statistical analysis,mpeeples2008,,,,,,,http://www.mattpeeples.net/modules/BasicMapping.html,,,,,
0c49d4,pointpattern,https://open-archaeo.info/post/pointpattern/,PointPattern,Point pattern analysis.,Scripts,R,language,Statistical analysis,mpeeples2008,,,,,,,http://www.mattpeeples.net/modules/PointPattern.html,,,,,
f4ee6d,sindwem,https://open-archaeo.info/post/sindwem/,sindwem,"This r package contains exactly one function, that calculates the ""sum of individual weighted means"" according to a methodology that is quite common among archaeologists and was first published in 1988 by elisabeth fentress and philip perkins.",Packages and libraries,R,language,Statistical analysis,steko,https://bitbucket.org/steko/mpi.r/src/default/,Bitbucket,,,,,,,,,,
9f286e,explographe,https://open-archaeo.info/post/explographe/,Explographe,Application (in libreoffice calc) for serializing a graphic matrix from counting tables. The application makes it possible to obtain either a serograph or a graph of the pvi matrograph type (visualization of the differences in independence from the percentages of independence values) which does not favor the vision of the variables over that of the lines and more suitable for non-chronological treatments.,Packages and libraries,LibreOffice Calc,host application,Statistical analysis,Bruno Desachy,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/outils-danalyse-graphique-des-donnees,,,,,
e2667b,predictsource,https://open-archaeo.info/post/predictsource/,predictSource,"A package to analyze data used to determine whether samples from multiple sources can be separated, to predict the sources of samples from unknown sources, and to evaluation the validity of those predictions. Sample data can include both quantitative and qualitative data. The package includes functions for creating an analysis file from multiple files and exploratory data analysis, as well as multivariate statistical methods to determine source separation, predict sources of unknown samples, and evaluate the validity of the predictions (principal components, classification trees, and random forests).",Packages and libraries,R,language,Statistical analysis,benmarwick,https://github.com/benmarwick/predictSource,GitHub,,,,,,,,,https://archive.org/details/github.com-benmarwick-predictSource_-_2020-06-23_20-14-59,
021f63,artifact-class-diversity,https://open-archaeo.info/post/artifact-class-diversity/,Artifact_Class_Diversity,Estimates artifact class diversity in multiple geographic regions.,Scripts,R,language,Spatial analysis,taphocoenose,https://github.com/taphocoenose/Artifact_Class_Diversity,GitHub,,,,,,,,,https://archive.org/details/github.com-taphocoenose-Artifact_Class_Diversity_-_2020-10-06_16-50-13,
cbc1c2,ede-interpolation,https://open-archaeo.info/post/ede-interpolation/,ede_interpolation,A qgis 3 plugin for spatio-temporal interpolation of archaeological settlement evidence.,Packages and libraries,QGIS,host application,Spatial analysis,demjanp,https://github.com/demjanp/ede_interpolation,GitHub,,,,,https://plugins.qgis.org/plugins/ede_interpolation/,,,,https://archive.org/details/github.com-demjanp-ede_interpolation_-_2020-06-05_13-54-37,
0265e1,fuzzyviewshed,https://open-archaeo.info/post/fuzzyviewshed/,FuzzyViewshed,Arcgis toolbox for fuzzy viewshed calculation.,Packages and libraries,ArcGIS,host application,Spatial analysis|Viewshed analysis,gianmarcoalberti,https://github.com/gianmarcoalberti/FuzzyViewshed,GitHub,,,,,,,,,https://archive.org/details/github.com-gianmarcoalberti-FuzzyViewshed_-_2017-10-31_07-54-32,
692e63,qgis-visibility-analysis,https://open-archaeo.info/post/qgis-visibility-analysis/,QGIS-visibility-analysis,"Calculates visible surface from a given observer point over a digital elevation model. The plugin is intended for more complex modelling, such as the depth below the visible horizon or generation of intervisibilty networks between groups of points. It is particularly performant for multiple viewshed calculations form a set of fixed points.",Packages and libraries,QGIS,host application,Spatial analysis|Viewshed analysis,zoran-cuckovic,https://github.com/zoran-cuckovic/QGIS-visibility-analysis,GitHub,,,,,http://www.zoran-cuckovic.from.hr/QGIS-visibility-analysis/,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-visibility-analysis_-_2021-01-14_19-11-48,
37c0d3,senscape,https://open-archaeo.info/post/senscape/,senscape,"A toolbox for modelling human perception of topography for qgis, based on qgis viewshed module.",Packages and libraries,QGIS,host application,Spatial analysis|Viewshed analysis,zoran-cuckovic,https://github.com/zoran-cuckovic/senscape,GitHub,,,,,,,,,https://archive.org/details/github.com-zoran-cuckovic-senscape_-_2017-09-24_10-34-14,
d7584e,archaeolines,https://open-archaeo.info/post/archaeolines/,ArchaeoLines,The archaeolines plugin displays any combination of declination arcs most relevant to archaeo- or ethnoastronomical studies.,Packages and libraries,Stellarium,host application,Spatial analysis|Viewshed analysis|Archaeoastronomy,stellarium,https://github.com/Stellarium/stellarium/tree/master/plugins/ArchaeoLines,GitHub,,,,,http://stellarium.sourceforge.net/wiki/index.php/ArchaeoLines_plugin,,,,,
c1d21f,pathaar,https://open-archaeo.info/post/pathaar/,pathAAR,"R package to reconstruct paths using archaeological monuments, model parameters of infrastructure and evaluate those parameters, model parameters of infrastructure and evaluate those parameters.",Packages and libraries,R,language,Spatial analysis,ISAAKiel,https://github.com/ISAAKiel/pathAAR,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-pathAAR_-_2020-11-02_14-32-45,
068b7e,transit,https://open-archaeo.info/post/transit/,TRANSIT,Gis toolbox for estimating the duration of ancient sail-powered navigation.,Packages and libraries,ArcGIS,host application,Spatial analysis,gianmarcoalberti,https://github.com/gianmarcoalberti/TRANSIT,GitHub,,,,,,,,,https://archive.org/details/github.com-gianmarcoalberti-TRANSIT_-_2017-12-17_09-17-29,
365985,qgis-topographic-networks,https://open-archaeo.info/post/qgis-topographic-networks/,QGIS-topographic-networks,"Models relationships between elements in a terrain model, connecting pixels according to their height difference.",Packages and libraries,QGIS,host application,Spatial analysis,zoran-cuckovic,https://github.com/zoran-cuckovic/QGIS-topographic-networks,GitHub,,,,,,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-topographic-networks_-_2016-06-29_12-43-38,
28f33d,leastcostpath,https://open-archaeo.info/post/leastcostpath/,leastcostpath,"Provides the functionality to calculate least cost paths (lcps) which are often, but not exclusively, used in archaeological research. This package can be used to apply multiple cost functions when approximating the difficulty of moving across a landscape, as well as taking into account traversing across slope and other costs such as landscape features. This package also provides functionality to validate the accuracy of the computed lcp relative to another path.",Packages and libraries,R,language,Spatial analysis,josephlewis,https://github.com/josephlewis/leastcostpath,GitHub,,,,,,,,,https://archive.org/details/github.com-josephlewis-leastcostpath_-_2021-01-28_18-03-22,
43f21c,field-photographs,https://open-archaeo.info/post/field-photographs/,field-photographs,Android apps for archaeology that enable photography during field work.,Packages and libraries,Mobile app,deployment,Site mapping,anatolian,https://github.com/anatolian/field-photographs,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-field-photographs_-_2016-03-06_19-58-32,
6add1a,archaeological-survey-location-collector,https://open-archaeo.info/post/archaeological-survey-location-collector/,archaeological-survey-location-collector,"An app for use in archaeological field survey to collect high-accurate point locations, photographs, and other data.",Packages and libraries,Mobile app,deployment,Site mapping,anatolian,https://github.com/anatolian/archaeological-survey-location-collector,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeological-survey-location-collector_-_2018-06-27_09-05-36,
b08aaa,arkgrid,https://open-archaeo.info/post/arkgrid/,ArkGrid,A qgis plugin for local site grids.,Packages and libraries,QGIS,host application,Site mapping,L-P Archaeology,https://github.com/lparchaeology/ArkGrid,GitHub,,,,,,,,,https://archive.org/details/github.com-lparchaeology-ArkGrid_-_2016-09-02_16-36-40,
