tag,kind,uses_software,uses_all,scope_note,examples,search_term,qid,qid_label,note
Statistical analysis,subject,51,54,Identification and analysis of quantitative distribution patterns.,alkahest; allen.archaeology; Alligator,statistical analysis,,Q2003932 SAS (statistical software) | Q107295191 statistical analysis plan (method for interpreting data) | Q15749300 Statistical Analysis and Data Mining (scientific journal),
Chronological modelling,subject,47,47,Identification and analysis of patterns relating to the distribution of events or timespans.,ADMUR; aion; allen-relations,chronological modelling,,"Q114743350 Chronological Modelling of the Chalcolithic Settlement Layers at Tell Yunatsite, Southern Bulgaria (scientific article published in 2021)",
Data management,subject,44,49,Tools used to organize and give structure to information.,AIS; ArboDat; archaeological-informatization-poc,data management,,"Q1149776 data management (disciplines related to managing data as a resource) | Q1172474 data hub (software for collaborating on gathering, sharing and using data) | Q17085509 data management plan (formal document outlining how research data will be treated)",
"Radiocarbon dating, calibration and sequencing",subject,35,47,Methods for determining and comparing the ages of objects using the properties of radiocarbon.,14C-power-sensitivity; ArchaeoCal; ArchaeoData,radiocarbon dating,,Q173412 radiocarbon dating (technique based on carbon-14 decay to determine the age of organic materials) | Q115976321 Radiocarbon dating (written work by Willard F. Libby) | Q121593173 Radiocarbon Dating,
Spatial analysis,subject,33,35,Identification and analysis of patterns relating to spatial distributions or relationships.,3d_spatial_ripley_analyses; ancient-artifacts; ArchaeoAstroInsight,spatial analysis,,"Q1938983 spatial analysis (formal techniques which study entities using their topological, geometric, or geographic properties) | Q55633673 spatial transcriptomics (transcriptomics with spatial resolution) | Q140125026 Spatial analysis and cultural information: the need for theory as well as method in space syntax analysis (book chapter in Spatial analysis and social spaces (2014))",
Shape recognition,subject,28,28,Techniques for automated classification of objects based on input representations of their physical shapes or morphological properties.,ancient-artifacts; ArchaeolPhytoliths; ArchAIDE,shape recognition,,"Q37349883 Shape recognition and inferior temporal neurons (scientific article published on September 1983) | Q52047655 Shape recognition contributions to figure-ground reversal: Which route counts? (scientific article published on November 1, 1991) | Q52363231 Shape recognition in rats (scientific article published in August 1957)",
Site mapping,subject,21,23,Techniques for illustrating archaeological sites.,3d_spatial_ripley_analyses; archaeological-survey-location-collector; ARchaeology,site mapping,,"Q137358312 refugee camp mapping (type of mapping refugee camps) | Q34042753 Site mapping and characterization of O-glycan structures on alpha-dystroglycan isolated from rabbit skeletal muscle. (scientific article) | Q41848141 Site-mapping of in vitro S-nitrosation in cardiac mitochondria: implications for cardioprotection (scientific article published on October 29, 2010)",
3D modelling,subject,20,26,Creation and manipulation of computer-generated three-dimensional models.,3D-ORGAN; 3D-survey-collection; 3D_EdgeAngle,3d modelling,,Q568742 3D modeling (process of developing a mathematical representation of any three-dimensional surface of object via specialized software) | Q28842817 3D-modelling and Prediction by WHIM Descriptors. Part 5. Theory Development and Chemical Meaning of WHIM Descriptors (scientific article (publication date: 1997)) | Q55884348 3D modelling of the early martian climate under a denser CO2 atmosphere: Temperatures and CO2 ice clouds (article published in 2013),
Artefact morphology,subject,19,19,Identification and analysis of artefacts' physical dimensions and shape.,3D_EdgeAngle; ArcheoShape; Ceramatic2.0,artefact morphology,,(no hits),
Zooarchaeology,subject,18,18,Techniques used to identify and analyze faunal remains.,Arothron; Bonify; cranial-sex-estimation-code,zooarchaeology,,Q318668 zooarchaeology (branch of archaeology that studies remains of animals from archaeological sites) | Q65154411 ZooMS (scientific method) | Q107623391 UCLA Zooarchaeology Lab (lab at UCLA to facilitate the identification and analysis of animal remains from archaeological sites),
API interfaces and web scrapers,subject,17,19,Tools that facilitate retrieval of data from web resources.,archaeology-data-service; benmarwickopencontext.r; c14bazAAR,web scraping,,Q665452 web scraping (data scraping used for extracting data from websites) | Q120830282 Web scraping prevention system (US patent 11411937) | Q106987808 Web scraping with Python: collecting more data from the modern web (book published in 2018),
Bits and bobs,catch-all,17,17,"Tools that do not necessarily pertain to a specific archaeological activity, but which may be particularly useful in practical matters commonly faced by archaeologists.",anthroFun; Arc-Team-Tools; ArcheOS,,,,
Biological anthropology,subject,16,16,"Concerned with the biological and behavioral aspects of human beings, their extinct hominin ancestors, and related non-human primates.",Arothron; bioanth; BioArch_R,biological anthropology,,Q27172 biological anthropology (branch of anthropology that studies the physical development of the human species) | Q136165428 Biological Anthropology and Ethics: From Repatriation to Genetic Identity (book 2005) | Q47654985 Biological anthropology (scientific article published in July 1977),
