codemeta_term,codemeta_namespace,wikidata_property,wikidata_label,wikidata_datatype,role_in_wikidata,on_wikiproject_page,mapping_type,chublets_planned_label,chublets_planned_datatype,notes
name,schema,(label),item label,monolingual text,label,no,direct,label,monolingual text,"The current name is carried as the item label, one per language, and drives search and autocomplete."
name,schema,P2561,name,monolingual text,statement,no,direct,name,monolingual text,"Complements the label: as a statement it can take qualifiers, references and ranks, so former names, release names and alternative spellings can be dated with P580/P582 and sourced. Not listed on the WikiProject Informatics page, but needed for renamed tools."
description,schema,(description),item description,monolingual text,description,no,direct,description,monolingual text,"Short abstract; chublets would keep the longer README-style text in a separate statement."
identifier,schema,(item id),Q-identifier,item,identity,no,direct,item id,item,"The chublets Q-ID would be the local identifier; the Wikidata Q-ID would be carried as an explicit link (see sameAs)."
sameAs,schema,(sitelink),-,item,identity,no,domain-extension,wikidata item,external identifier,"Planned outbound link to Wikidata so that chublets records point at Wikidata rather than duplicating it."
codeRepository,schema,P1324,source code repository URL,URL,statement,yes,direct,source code repository URL,URL,"Primary discovery anchor; P1552 mirror storage available as qualifier for mirrors."
programmingLanguage,schema,P277,programmed in,item,statement,yes,direct,programmed in,item,"Item-valued in Wikidata; chublets would reuse a controlled vocabulary of language items."
runtimePlatform,schema,P400,platform,item,statement,yes,direct,platform,item,
operatingSystem,schema,P306,operating system,item,statement,yes,direct,operating system,item,
softwareRequirements,schema,P1547,depends on software,item,statement,yes,direct,depends on software,item,"Dependency graph; would allow SPARQL traversal across chublets items."
softwareVersion,schema,P348,software version identifier,string,statement,yes,direct,software version identifier,string,"Versions modelled as string statements with qualifiers, not as separate items. Latest version gets preferred rank."
version,schema,P348,software version identifier,string,statement,yes,direct,software version identifier,string,"Duplicate of softwareVersion in CodeMeta; would collapse onto one chublets property."
downloadUrl,schema,P4945,download URL,URL,qualifier of P348,yes,qualifier,download URL,URL,"Qualifier on the version statement in Wikidata; chublets would keep the same qualifier pattern."
